cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
ua,fld_s30i201,,m s-1,time pressure lat_v lon_u,6hrPt,atmos,area: time: point,,CMIP6_6hrLev,CM2,float32,334080,289440,cm000a.p7,U COMPNT OF WIND ON P LEV/UV GRID,eastward_wind
va,fld_s30i202,,m s-1,time pressure lat_v lon_u,6hrPt,atmos,area: time: point,,CMIP6_6hrLev,CM2,float32,334080,289440,cm000a.p7,V COMPNT OF WIND ON P LEV/UV GRID,northward_wind
ta,fld_s30i294,,K,time pressure lat lon,6hrPt,atmos,area: time: point,,CMIP6_6hrLev,CM2,float32,331776,289440,cm000a.p7,TEMPERATURE ON P LEV/T GRID,air_temperature
zg,fld_s30i297,,m,time lat lon,6hrPt,atmos,area: time: point,,,CM2,float32,110592,289440,cm000a.p7,GEOPOTENTIAL HEIGHT ON P LEV/T GRID,geopotential_height
rv850,fld_s30i455,,,time lat_v lon_u,6hrPt,atmos,area: time: point,,CMIP6_6hrPlevPt,CM2,float32,111360,289440,cm000a.p7,VORTICITY 850,
ps,fld_s00i409,,Pa,time lat lon,3hrPt,atmos,area: time: point,,CMIP6_E3hrPt,CM2,float32,110592,578880,cm000a.p8,SURFACE PRESSURE AFTER TIMESTEP,surface_air_pressure
tos,fld_s00i507,,K,time lat lon,3hrPt,ocean,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,OPEN SEA SURFACE TEMP AFTER TIMESTEP,surface_temperature_where_open_sea
rss,fld_s01i201,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,NET DOWN SURFACE SW FLUX: SW TS ONLY,surface_net_downward_shortwave_flux
rsdscs,fld_s01i210,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,CLEAR-SKY (II) DOWN SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsuscs,fld_s01i211,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,CLEAR-SKY (II) UP SURFACE SW FLUX,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
rsdsdiff,fld_s01i216,,,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,DIFFUSE SURFACE SW FLUX : CORRECTED,
rsds,fld_s01i235,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL DOWNWARD SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air
rls,fld_s02i201,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,NET DOWN SURFACE LW RAD FLUX,surface_net_downward_longwave_flux
clt,fld_s02i204,,1,time_0 lat lon,3hr,atmos,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,TOTAL CLOUD AMOUNT IN LW RADIATION,cloud_area_fraction
rlut,fld_s02i205,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,OUTGOING LW RAD FLUX (TOA),toa_outgoing_longwave_flux
rlds,fld_s02i207,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,DOWNWARD LW RAD FLUX: SURFACE,surface_downwelling_longwave_flux_in_air
uas,fld_s03i209,,m s-1,time lat lon_u,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time lat_v lon,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,111360,578880,cm000a.p8,10 METRE WIND V-COMP,northward_wind
hfss,fld_s03i217,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,SURFACE SENSIBLE HEAT FLUX W/M2,surface_upward_sensible_heat_flux
hfls,fld_s03i234,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,SURFACE LATENT HEAT FLUX W/M2,surface_upward_latent_heat_flux
tas,fld_s03i236,,K,time lat lon,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TEMPERATURE AT 1.5M,air_temperature
huss,fld_s03i237,,1,time lat lon,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,SPECIFIC HUMIDITY  AT 1.5M,specific_humidity
hurs,fld_s03i245,,%,time lat lon,3hrPt,atmos,area: time: point,,,CM2,float32,110592,578880,cm000a.p8,RELATIVE HUMIDITY AT 1.5M,relative_humidity
rlut,fld_s03i332,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOA OUTGOING LW RAD AFTER B.LAYER,toa_outgoing_longwave_flux
prrc,fld_s05i205,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,CONVECTIVE RAINFALL RATE     KG/M2/S,convective_rainfall_flux
prsnc,fld_s05i206,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,CONVECTIVE SNOWFALL RATE     KG/M2/S,convective_snowfall_flux
prra,fld_s05i214,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL RAINFALL RATE: LS+CONV KG/M2/S,rainfall_flux
prsn,fld_s05i215,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL SNOWFALL RATE: LS+CONV KG/M2/S,snowfall_flux
pr,fld_s05i216,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL PRECIPITATION RATE  KG/M2/S,precipitation_flux
tslsi,fld_s03i316,,K,time pseudo_level lat lon,3hrPt,land,area: time: point,,CMIP6_3hr,CM2,float32,1880064,578880,cm000a.p8,SURFACE TEMP ON TILES K,surface_temperature
mrsol,fld_s08i223,,kg m-2,time depth lat lon,3hrPt,land,area: time: point,,,CM2,float32,663552,578880,cm000a.p8,SOIL MOISTURE CONTENT IN A LAYER,mass_content_of_water_in_soil_layer
mrros,fld_s08i234,,kg m-2 s-1,time_0 lat lon,3hr,land,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,SURFACE RUNOFF RATE KG/M2/S,surface_runoff_flux
mrrob,fld_s08i235,,kg m-2 s-1,time_0 lat lon,3hr,land,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,SUB-SURFACE RUNOFF RATE      KG/M2/S,subsurface_runoff_flux
rss,fld_s01i201,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,NET DOWN SURFACE SW FLUX: SW TS ONLY,surface_net_downward_shortwave_flux
rsds,fld_s01i235,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOTAL DOWNWARD SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air
rls,fld_s02i201,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,NET DOWN SURFACE LW RAD FLUX,surface_net_downward_longwave_flux
clt,fld_s02i204,,1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOTAL CLOUD AMOUNT IN LW RADIATION,cloud_area_fraction
rlut,fld_s02i205,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,OUTGOING LW RAD FLUX (TOA),toa_outgoing_longwave_flux
rlutcs,fld_s02i206,,W m-2,time lat lon,day,atmos,area: time: mean,,,CM2,float32,110592,74772,cm000a.pd,CLEAR-SKY (II) UPWARD LW FLUX (TOA),toa_outgoing_longwave_flux_assuming_clear_sky
rlds,fld_s02i207,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,DOWNWARD LW RAD FLUX: SURFACE,surface_downwelling_longwave_flux_in_air
rldscs,fld_s02i208,,W m-2,time lat lon,day,atmos,area: time: mean,,,CM2,float32,110592,74772,cm000a.pd,CLEAR-SKY (II) DOWN SURFACE LW FLUX,surface_downwelling_longwave_flux_in_air_assuming_clear_sky
uas,fld_s03i209,,m s-1,time lat lon_u,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time lat_v lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,111360,74772,cm000a.pd,10 METRE WIND V-COMP,northward_wind
hfss,fld_s03i217,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,SURFACE SENSIBLE HEAT FLUX     W/M2,surface_upward_sensible_heat_flux
sfcWind,fld_s03i230,,m s-1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,10 METRE WIND SPEED ON C GRID,wind_speed
sfcWindmax,fld_s03i230_max,,m s-1,time lat lon,day,atmos,area: time: maximum,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,10 METRE WIND SPEED ON C GRID,wind_speed
hfls,fld_s03i234,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,SURFACE LATENT HEAT FLUX        W/M2,surface_upward_latent_heat_flux
tas,fld_s03i236,,K,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TEMPERATURE AT 1.5M,air_temperature
tasmax,fld_s03i236_max,,K,time lat lon,day,atmos,area: time: maximum,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TEMPERATURE AT 1.5M,air_temperature
tasmin,fld_s03i236_min,,K,time lat lon,day,atmos,area: time: minimum,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TEMPERATURE AT 1.5M,air_temperature
huss,fld_s03i237,,1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,SPECIFIC HUMIDITY  AT 1.5M,specific_humidity
hurs,fld_s03i245,,%,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,RELATIVE HUMIDITY AT 1.5M,relative_humidity
hursmax,fld_s03i245_max,,%,time lat lon,day,atmos,area: time: maximum,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,RELATIVE HUMIDITY AT 1.5M,relative_humidity
hursmin,fld_s03i245_min,,%,time lat lon,day,atmos,area: time: minimum,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,RELATIVE HUMIDITY AT 1.5M,relative_humidity
rlut,fld_s03i332,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOA OUTGOING LW RAD AFTER B.LAYER,toa_outgoing_longwave_flux
prsn,fld_s05i215,,kg m-2 s-1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOTAL SNOWFALL RATE: LS+CONV KG/M2/S,snowfall_flux
pr,fld_s05i216,,kg m-2 s-1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOTAL PRECIPITATION RATE     KG/M2/S,precipitation_flux
mrsol,fld_s08i223,,kg m-2,time depth lat lon,day,land,area: time: mean,,CMIP6_Eday,CM2,float32,663552,74772,cm000a.pd,SOIL MOISTURE CONTENT IN A LAYER,mass_content_of_water_in_soil_layer
mrros,fld_s08i234,,kg m-2 s-1,time lat lon,day,land,area: time: mean,,CMIP6_Eday,CM2,float32,110592,74772,cm000a.pd,SURFACE RUNOFF RATE          KG/M2/S,surface_runoff_flux
psl,fld_s16i222,,Pa,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,PRESSURE AT MEAN SEA LEVEL,air_pressure_at_sea_level
ua,fld_s30i201,,m s-1,time pressure lat_v lon_u,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,890880,74772,cm000a.pd,U COMPNT OF WIND ON P LEV/UV GRID,eastward_wind
va,fld_s30i202,,m s-1,time pressure lat_v lon_u,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,890880,74772,cm000a.pd,V COMPNT OF WIND ON P LEV/UV GRID,northward_wind
ta,fld_s30i294,,K,time pressure lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,884736,74772,cm000a.pd,TEMPERATURE ON P LEV/T GRID,air_temperature
hus,fld_s30i295,,1,time pressure lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,884736,74772,cm000a.pd,SPECIFIC HUMIDITY ON P LEV/T GRID,specific_humidity
hur,fld_s30i296,,%,time pressure lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,884736,74772,cm000a.pd,RELATIVE HUMIDITY ON P LEV/T GRID,relative_humidity
zg,fld_s30i297,,m,time pressure lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,884736,74772,cm000a.pd,GEOPOTENTIAL HEIGHT ON P LEV/T GRID,geopotential_height
wap,fld_s30i298,,Pa s-1,time pressure lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,884736,74772,cm000a.pd,OMEGA ON P LEV/T GRID,lagrangian_tendency_of_air_pressure
theta,fld_s00i004,,K,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CM2_mon,CM2,float32,9400320,2081,cm000a.pm,THETA AFTER TIMESTEP,air_potential_temperature
hus,fld_s00i010,,1,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,9400320,2081,cm000a.pm,SPECIFIC HUMIDITY AFTER TIMESTEP,specific_humidity
ts,fld_s00i024,,K,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,SURFACE TEMPERATURE AFTER TIMESTEP,surface_temperature
siconca,fld_s00i031,,1,time lat lon,mon,seaIce,area: time: mean,,CMIP6_SImon,CM2,float32,110592,2081,cm000a.pm,FRAC OF SEA ICE IN SEA AFTER TSTEP,sea_ice_area_fraction
orog,fld_s00i033,,m,time lat lon,mon,land,area: time: mean,,CMIP6_fx,CM2,float32,110592,2081,cm000a.pm,OROGRAPHY (/STRAT LOWER BC),surface_altitude
phalf,fld_s00i407,,Pa,time model_rho_level_number lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,9400320,2081,cm000a.pm,PRESSURE AT RHO LEVELS AFTER TS,air_pressure
pfull,fld_s00i408,,Pa,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CM2_mon,CM2,float32,9400320,2081,cm000a.pm,PRESSURE AT THETA LEVELS AFTER TS,air_pressure
ps,fld_s00i409,,Pa,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,SURFACE PRESSURE AFTER TIMESTEP,surface_air_pressure
tos,fld_s00i507,,K,time lat lon,mon,ocean,area: time: mean,,CMIP6_Omon,CM2,float32,110592,2081,cm000a.pm,OPEN SEA SURFACE TEMP AFTER TIMESTEP,surface_temperature_where_open_sea
rss,fld_s01i201,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Emon,CM2,float32,110592,2081,cm000a.pm,NET DOWN SURFACE SW FLUX: SW TS ONLY,surface_net_downward_shortwave_flux
rsdt,fld_s01i207,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,INCOMING SW RAD FLUX (TOA): ALL TSS,toa_incoming_shortwave_flux
rsut,fld_s01i208,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,OUTGOING SW RAD FLUX (TOA),toa_outgoing_shortwave_flux
rsutcs,fld_s01i209,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,CLEAR-SKY (II) UPWARD SW FLUX (TOA),toa_outgoing_shortwave_flux_assuming_clear_sky
rsdscs,fld_s01i210,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,CLEAR-SKY (II) DOWN SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsuscs,fld_s01i211,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,CLEAR-SKY (II) UP SURFACE SW FLUX,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
rsds,fld_s01i235,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOTAL DOWNWARD SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air
rls,fld_s02i201,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Emon,CM2,float32,110592,2081,cm000a.pm,NET DOWN SURFACE LW RAD FLUX,surface_net_downward_longwave_flux
clt,fld_s02i204,,1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOTAL CLOUD AMOUNT IN LW RADIATION,cloud_area_fraction
rlut,fld_s02i205,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,OUTGOING LW RAD FLUX (TOA),toa_outgoing_longwave_flux
rlutcs,fld_s02i206,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,CLEAR-SKY (II) UPWARD LW FLUX (TOA),toa_outgoing_longwave_flux_assuming_clear_sky
rlds,fld_s02i207,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,DOWNWARD LW RAD FLUX: SURFACE,surface_downwelling_longwave_flux_in_air
rldscs,fld_s02i208,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,CLEAR-SKY (II) DOWN SURFACE LW FLUX,surface_downwelling_longwave_flux_in_air_assuming_clear_sky
cl,fld_s02i261,,1,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,9400320,2081,cm000a.pm,TOTAL CLOUD AMOUNT ON LEVELS,cloud_area_fraction_in_atmosphere_layer
clw,fld_s02i308,,1,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,9400320,2081,cm000a.pm,GRIDBOX LSC Qcl IN RADIATION   KG/KG,mass_fraction_of_stratiform_cloud_liquid_water_in_air
cli,fld_s02i309,,1,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,9400320,2081,cm000a.pm,GRIDBOX LSC Qcf IN RADIATION   KG/KG,mass_fraction_of_stratiform_cloud_ice_in_air
uas,fld_s03i209,,m s-1,time lat lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time lat_v lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,111360,2081,cm000a.pm,10 METRE WIND V-COMP,northward_wind
hfss,fld_s03i217,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,SURFACE SENSIBLE HEAT FLUX     W/M2,surface_upward_sensible_heat_flux
evspsbl,fld_s03i223,,kg m-2 s-1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,SURFACE TOTAL MOISTURE FLUX  KG/M2/S,water_evaporation_flux
sfcWind,fld_s03i230,,m s-1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,10 METRE WIND SPEED ON C GRID,wind_speed
eow,fld_s03i232,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CM2_mon,CM2,float32,110592,2081,cm000a.pm,Evaporation flux from open sea,
hfls,fld_s03i234,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,SURFACE LATENT HEAT FLUX        W/M2,surface_upward_latent_heat_flux
tas,fld_s03i236,,K,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TEMPERATURE AT 1.5M,air_temperature
huss,fld_s03i237,,1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,SPECIFIC HUMIDITY  AT 1.5M,specific_humidity
hurs,fld_s03i245,,%,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,RELATIVE HUMIDITY AT 1.5M,relative_humidity
gpp,fld_s03i261,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,GROSS PRIMARY PRODUCTIVITY KG C/M2/S,gross_primary_productivity_of_biomass_expressed_as_carbon
npp,fld_s03i262,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,NET PRIMARY PRODUCTIVITY KG C/M2/S,net_primary_productivity_of_biomass_expressed_as_carbon
